City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,urcos,-13.6861,-71.6228,21.94,28,4,2.76,PE,1691691191
302,hadibu,12.65,54.0333,25.7,79,24,6.68,YE,1691690917
303,bonthe,7.5264,-12.505,25.31,83,100,5.61,SL,1691691191
304,barra dos coqueiros,-10.9089,-37.0386,27.01,69,75,5.66,BR,1691691191
305,nyurba,63.2842,118.3319,15.83,77,44,2.78,RU,1691691191
306,santa vitoria do palmar,-33.5189,-53.3681,18.19,79,100,4.05,BR,1691690994
307,mishan,45.55,131.8833,19.65,99,100,2.25,CN,1691691191
308,weno,7.4515,151.8468,26.95,77,93,2.56,FM,1691691191
309,kattivakkam,13.2167,80.3167,28.05,86,100,4.19,IN,1691691192
310,lerwick,60.1545,-1.1494,15.0,80,18,2.65,GB,1691691192
311,huazhou,21.6333,110.5833,26.62,89,99,1.62,CN,1691691192
312,hawaiian paradise park,19.5933,-154.9731,22.8,98,100,2.57,US,1691691192
313,vila franca do campo,37.7167,-25.4333,24.23,83,96,1.11,PT,1691691192
314,bokkos,9.3,9.0,17.56,96,100,2.72,NG,1691691192
315,khanty-mansiysk,61.0042,69.0019,14.06,62,0,2.0,RU,1691691192
316,horta,38.5333,-28.6333,25.8,73,20,4.12,PT,1691691192
317,wamba,8.9333,8.6,22.26,95,100,1.62,NG,1691690962
318,iwanai,42.9744,140.5089,21.81,96,76,2.78,JP,1691691193
319,san severo,41.6897,15.376,26.78,48,3,3.12,IT,1691691193
320,pen,18.75,73.0833,28.02,87,14,1.74,IN,1691691193
321,vorgashor,67.5833,63.95,8.46,90,29,3.53,RU,1691691193
322,prainha,-1.8,-53.48,35.58,35,45,3.2,BR,1691691193
323,basoko,1.2391,23.616,23.65,91,94,1.24,CD,1691691193
324,newnham,-41.3833,147.1333,7.95,100,56,2.57,AU,1691691193
325,cidreira,-30.1811,-50.2056,19.35,85,52,4.35,BR,1691691193
326,al kharijah,25.4514,30.5464,34.27,18,0,5.25,EG,1691691193
